"","Friulian","Italian","Romansh","Walloon","French","Occitan","Spanish","Portuguese","Catalan","Aromanian","Romanian","Latin","Breton","Breton","Breton","Cornish","Welsh","Welsh","Irish","Scottish Gaelic","Luxembourgish","German","West Flemish","Dutch","English","Swedish","Swedish","Swedish","Norwegian (Bokmål)","Danish","Faroese","Icelandic","Gothic","Czech","Czech","Slovak","Upper Sorbian","Lower Sorbian","Polish","Belarusian","Ukrainian","Russian","Bulgarian","Macedonian","Serbian","Old Church Slavonic","Slovenian","Latvian","Lithuanian","Western Punjabi","Urdu","Hindi","Bihari","Gujarati","Marathi","Sindhi","Assamese","Oriya","Bengali","Kashmiri","Sinhalese","Romani","Sanskrit","Tajik","Persian","Kurdish (Sorani)","Ossetian","Albanian","Anglo Saxon","Greek","Armenian","Armenian"
"Friulian",0,1137.4484819882,1807.236962731,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Italian",1137.4484819882,0,1807.236962731,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Romansh",1807.236962731,1807.236962731,0,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3133.6855057594,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Walloon",3133.6855057594,3133.6855057594,3133.6855057594,0,547.541926351173,1253.1706376367,2657.1918892749,2657.1918892749,2657.1918892749,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"French",3133.6855057594,3133.6855057594,3133.6855057594,547.541926351173,0,1253.1706376367,2657.1918892749,2657.1918892749,2657.1918892749,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Occitan",3133.6855057594,3133.6855057594,3133.6855057594,1253.1706376367,1253.1706376367,0,2657.1918892749,2657.1918892749,2657.1918892749,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Spanish",3133.6855057594,3133.6855057594,3133.6855057594,2657.1918892749,2657.1918892749,2657.1918892749,0,945.953140249101,1913.9044765575,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Portuguese",3133.6855057594,3133.6855057594,3133.6855057594,2657.1918892749,2657.1918892749,2657.1918892749,945.953140249101,0,1913.9044765575,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Catalan",3133.6855057594,3133.6855057594,3133.6855057594,2657.1918892749,2657.1918892749,2657.1918892749,1913.9044765575,1913.9044765575,0,3978.78246727278,3978.78246727278,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Aromanian",3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,0,1605.7120298417,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Romanian",3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,1605.7120298417,0,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Latin",2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,0,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,6560.73668022503,9449.08539680351,9449.08539680351,9449.0853968035,9449.08539680353,9449.08539680353,9449.0853968035,9449.0853968035,9449.0853968035,9449.0853968035,9449.08539680353,9449.08539680353,9449.08539680353,8477.39418072291,9449.0853968035,9449.0853968035,9449.0853968035,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,7836.79356271638,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,11696.7830164951,11696.7830164951
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,0,314.244182732004,853.195894189598,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,314.244182732004,0,853.195894189598,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,853.195894189598,853.195894189598,0,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Cornish",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,2058.3953543235,2058.3953543235,2058.3953543235,0,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Welsh",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,3095.643438384,3095.643438384,3095.643438384,3095.643438384,0,481.628238346729,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
